Neighborhood,Grace_Period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Beechview,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Crafton Heights,1,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM
Polish Hill,1,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM
Mt Oliver,2,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,None
Perry North,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Bon Air,2,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,
Point Breeze North,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Arlington,2,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Southside Slopes,1,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None
Hays,1,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None
Brighton Heights,1,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,None
Saint Clair,1,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None
Spring Garden,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,9:00 AM - 2:00 PM,None
Lincoln-Lemington-Belmar,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Mount Washington,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Upper Hill,2,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Herrs Island,1,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None
Sheraden,1,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None
East Allegheny,2,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,None
Terrace Village,1,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None
Carrick,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,9:00 AM - 2:00 PM,None
Garfield,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
East Liberty,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Manchester,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,9:00 AM - 2:00 PM,None
Knoxville,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Esplen,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Hazelwood,1,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None
Elliott,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,9:00 AM - 2:00 PM,None
Perry South,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Homewood South,2,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Homewood North,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,9:00 AM - 2:00 PM,None
Marshall-Shadeland,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
East Hills,2,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Central Northside,1,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,None
Fine View,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None
Homewood West,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None
Allegheny West,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None
California-Kirkbride,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None
Spring Hill-City View,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Middle Hill,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Allentown,2,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Allegheny Center,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,None
Troy Hill,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Beltzhoover,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Crawford Roberts,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Larimer,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Northview Heights,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
Strip District,1,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None
